Id,Expected
0,1.375000e+05
1,2.243000e+05
2,7.020000e+04
3,2.875000e+05
4,1.890000e+05
5,1.681000e+05
6,2.766000e+05
7,8.430000e+04
8,7.070000e+04
9,2.531000e+05
10,3.387000e+05
11,1.375000e+05
12,9.170000e+04
13,2.515000e+05
14,1.092000e+05
15,1.239000e+05
16,1.464000e+05
17,1.598000e+05
18,5.000010e+05
19,2.436000e+05
20,2.668000e+05
21,1.015000e+05
22,2.225000e+05
23,2.346000e+05
24,1.598000e+05
25,1.625000e+05
26,1.338000e+05
27,9.430000e+04
28,2.051000e+05
29,1.686000e+05
30,9.680000e+04
31,5.710000e+04
32,1.284000e+05
33,2.619000e+05
34,1.471000e+05
35,2.750000e+05
36,2.541000e+05
37,2.698000e+05
38,9.380000e+04
39,2.100000e+05
40,2.302000e+05
41,8.570000e+04
42,8.640000e+04
43,1.443000e+05
44,8.650000e+04
45,9.710000e+04
46,1.647000e+05
47,2.226000e+05
48,1.125000e+05
49,2.182000e+05
50,1.830000e+05
51,3.278000e+05
52,1.793000e+05
53,2.067000e+05
54,2.357000e+05
55,7.820000e+04
56,5.580000e+04
57,2.222000e+05
58,2.160000e+05
59,3.873000e+05
60,1.832000e+05
61,4.185000e+05
62,1.479000e+05
63,1.076000e+05
64,1.093000e+05
65,9.880000e+04
66,1.576000e+05
67,1.907000e+05
68,4.351000e+05
69,7.240000e+04
70,5.000010e+05
71,6.220000e+04
72,1.055000e+05
73,6.340000e+04
74,1.688000e+05
75,2.221000e+05
76,1.542000e+05
77,3.511000e+05
78,1.588000e+05
79,4.361000e+05
80,9.530000e+04
81,9.760000e+04
82,7.320000e+04
83,4.329000e+05
84,2.456000e+05
85,4.543000e+05
86,1.188000e+05
87,8.630000e+04
88,1.114000e+05
89,1.406000e+05
90,3.500000e+05
91,2.523000e+05
92,2.306000e+05
93,1.899000e+05
94,4.541000e+05
95,1.127000e+05
96,2.877000e+05
97,1.630000e+05
98,2.327000e+05
99,4.125000e+05
100,2.243000e+05
101,1.917000e+05
102,2.321000e+05
103,1.657000e+05
104,2.177000e+05
105,2.237000e+05
106,1.291000e+05
107,1.138000e+05
108,6.950000e+04
109,1.006000e+05
110,8.250000e+04
111,1.464000e+05
112,4.000000e+04
113,2.167000e+05
114,2.250000e+05
115,2.832000e+05
116,1.482000e+05
117,1.000000e+05
118,8.130000e+04
119,9.830000e+04
120,1.848000e+05
121,5.800000e+04
122,2.006000e+05
123,9.200000e+04
124,2.250000e+05
125,1.147000e+05
126,1.438000e+05
127,1.375000e+05
128,1.517000e+05
129,1.005000e+05
130,6.210000e+04
131,9.720000e+04
132,2.415000e+05
133,5.000010e+05
134,1.447000e+05
135,3.020000e+05
136,2.941000e+05
137,9.310000e+04
138,1.602000e+05
139,8.620000e+04
140,2.440000e+05
141,5.550000e+04
142,1.154000e+05
143,2.672000e+05
144,1.344000e+05
145,1.752000e+05
146,2.092000e+05
147,3.076000e+05
148,1.345000e+05
149,4.156000e+05
150,2.849000e+05
151,2.270000e+05
152,1.438000e+05
153,7.220000e+04
154,9.270000e+04
155,2.275000e+05
156,2.351000e+05
157,1.578000e+05
158,1.682000e+05
159,2.074000e+05
160,1.347000e+05
161,1.700000e+05
162,2.250000e+05
163,2.608000e+05
164,2.173000e+05
165,5.000010e+05
166,1.640000e+05
167,1.625000e+05
168,2.768000e+05
169,1.865000e+05
170,3.631000e+05
171,1.173000e+05
172,2.858000e+05
173,4.345000e+05
174,1.183000e+05
175,2.258000e+05
176,1.709000e+05
177,1.883000e+05
178,4.612000e+05
179,1.193000e+05
180,3.239000e+05
181,1.886000e+05
182,3.136000e+05
183,3.567000e+05
184,5.000010e+05
185,8.580000e+04
186,1.051000e+05
187,1.292000e+05
188,2.682000e+05
189,1.021000e+05
190,2.271000e+05
191,2.239000e+05
192,7.780000e+04
193,3.750000e+05
194,1.927000e+05
195,2.070000e+05
196,3.500000e+05
197,1.403000e+05
198,1.813000e+05
199,2.654000e+05
200,2.659000e+05
201,2.490000e+05
202,1.819000e+05
203,3.527000e+05
204,1.203000e+05
205,3.118000e+05
206,1.791000e+05
207,5.000010e+05
208,6.500000e+04
209,1.659000e+05
210,4.920000e+04
211,1.869000e+05
212,3.379000e+05
213,7.250000e+04
214,1.734000e+05
215,3.570000e+05
216,1.355000e+05
217,1.338000e+05
218,5.000010e+05
219,3.500000e+05
220,1.343000e+05
221,9.060000e+04
222,3.109000e+05
223,5.000010e+05
224,1.199000e+05
225,1.125000e+05
226,8.010000e+04
227,2.438000e+05
228,1.853000e+05
229,5.000010e+05
230,3.255000e+05
231,6.750000e+04
232,1.592000e+05
233,1.276000e+05
234,2.125000e+05
235,2.071000e+05
236,1.774000e+05
237,1.681000e+05
238,2.289000e+05
239,1.607000e+05
240,1.219000e+05
241,1.200000e+05
242,1.658000e+05
243,1.831000e+05
244,3.045000e+05
245,5.820000e+04
246,8.750000e+04
247,1.167000e+05
248,1.512000e+05
249,1.402000e+05
250,1.990000e+05
251,4.000000e+05
252,2.168000e+05
253,1.933000e+05
254,3.058000e+05
255,1.257000e+05
256,2.404000e+05
257,1.011000e+05
258,1.626000e+05
259,9.340000e+04
260,5.000010e+05
261,1.418000e+05
262,2.408000e+05
263,4.025000e+05
264,1.813000e+05
265,7.610000e+04
266,1.841000e+05
267,4.600000e+05
268,1.048000e+05
269,8.890000e+04
270,1.321000e+05
271,1.538000e+05
272,8.750000e+04
273,9.350000e+04
274,1.459000e+05
275,5.000010e+05
276,2.098000e+05
277,1.958000e+05
278,8.040000e+04
279,1.755000e+05
280,2.089000e+05
281,9.230000e+04
282,2.712000e+05
283,8.490000e+04
284,1.000000e+05
285,5.000010e+05
286,9.720000e+04
287,2.260000e+05
288,2.291000e+05
289,1.406000e+05
290,9.850000e+04
291,6.210000e+04
292,1.403000e+05
293,1.668000e+05
294,1.375000e+05
295,2.824000e+05
296,3.825000e+05
297,1.833000e+05
298,1.458000e+05
299,3.226000e+05
300,1.650000e+05
301,2.406000e+05
302,3.505000e+05
303,8.130000e+04
304,1.875000e+05
305,1.345000e+05
306,8.210000e+04
307,3.294000e+05
308,1.514000e+05
309,2.150000e+05
310,1.211000e+05
311,7.350000e+04
312,3.280000e+05
313,1.153000e+05
314,1.669000e+05
315,2.387000e+05
316,5.000010e+05
317,3.250000e+05
318,4.050000e+05
319,1.162000e+05
320,6.690000e+04
321,1.909000e+05
322,1.119000e+05
323,2.224000e+05
324,1.468000e+05
325,2.352000e+05
326,3.238000e+05
327,6.350000e+04
328,1.952000e+05
329,2.500000e+05
330,1.985000e+05
331,7.220000e+04
332,1.372000e+05
333,2.872000e+05
334,6.180000e+04
335,4.660000e+04
336,9.080000e+04
337,3.350000e+05
338,3.560000e+05
339,1.589000e+05
340,1.457000e+05
341,2.194000e+05
342,2.137000e+05
343,4.306000e+05
344,4.515000e+05
345,2.705000e+05
346,4.200000e+05
347,1.535000e+05
348,3.193000e+05
349,1.875000e+05
350,1.316000e+05
351,9.920000e+04
352,9.260000e+04
353,7.300000e+04
354,3.750000e+05
355,1.611000e+05
356,2.832000e+05
357,1.024000e+05
358,4.699000e+05
359,2.650000e+05
360,2.766000e+05
361,1.720000e+05
362,1.237000e+05
363,2.798000e+05
364,7.120000e+04
365,1.899000e+05
366,2.225000e+05
367,6.000000e+04
368,1.733000e+05
369,3.074000e+05
370,9.640000e+04
371,2.328000e+05
372,3.430000e+05
373,6.560000e+04
374,2.394000e+05
375,1.830000e+05
376,1.327000e+05
377,1.500000e+05
378,2.839000e+05
379,1.536000e+05
380,2.401000e+05
381,8.080000e+04
382,1.699000e+05
383,2.489000e+05
384,7.360000e+04
385,2.038000e+05
386,3.313000e+05
387,1.720000e+05
388,5.000010e+05
389,5.570000e+04
390,1.621000e+05
391,5.330000e+04
392,1.861000e+05
393,5.000010e+05
394,3.197000e+05
395,1.084000e+05
396,4.447000e+05
397,2.838000e+05
398,2.577000e+05
399,2.417000e+05
400,5.000010e+05
401,2.345000e+05
402,2.250000e+04
403,3.750000e+04
404,7.630000e+04
405,2.554000e+05
406,1.426000e+05
407,1.808000e+05
408,2.755000e+05
409,5.000010e+05
410,9.900000e+04
411,5.500000e+04
412,1.597000e+05
413,5.000010e+05
414,3.143000e+05
415,1.112000e+05
416,5.710000e+04
417,2.077000e+05
418,1.455000e+05
419,1.106000e+05
420,2.610000e+05
421,5.000000e+05
422,2.906000e+05
423,1.214000e+05
424,3.375000e+05
425,5.000010e+05
426,1.205000e+05
427,2.424000e+05
428,5.070000e+04
429,1.234000e+05
430,2.750000e+05
431,1.529000e+05
432,1.294000e+05
